Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
3447920,3447920,20.6,0.2016299194,0.4508582062,201.6299194428,450.8582061718,0.1252869847,0.2801502144,661.5155049046,1479.1936371367,792835200000,2.1643728488,7791.7422557238,4841.485625508,0.4228501583,164.4887084961,63257484,39306380,42,2,0.183818,3.753,2458000.5,0.4074703521368720,1.978471308901620,4.06169556322702,142.2597510835390,1016.466480875610,1.172302907970780,38.66044217724880,2.784639709832460,2457957.835037080000,15.11056876015710,0.3541680977909750,FALSE
3005973,3005973,21.7,0.1214940408,0.2716689341,121.4940407996,271.6689340891,0.0754928736,0.1688071972,398.6025088171,891.3023057169,793440000000,28.4189542612,102308.2353404510,63570.3587869599,0.0485413736,18.8825950623,7261686.5,4512202.5,29,1,0.0128745,6.152,2453548.5,0.8684189074961080,0.9067337425159880,4.035074270183860,342.7842082321540,315.3683407722340,0.1193090164503960,322.3904957839120,1.694158468581580,2453597.575432350000,303.9792986106830,1.141522319959190,TRUE
3660308,3660308,23.9,0.04411182,0.0986370281,44.1118199997,98.6370281305,0.0274098057,0.0612901888,144.7238235278,323.6123073718,793440000000,10.551519772,37985.471179349,23602.6945780794,0.0197382264,7.6781702042,2952796.75,1834782.875,32,3,0.0109543,4.767,2458000.5,0.3988200079942560,1.35791927755497,3.854342068985660,341.218636234598,577.9754044222900,0.8163539004249430,237.1733163416560,1.899484654685000,2457913.298120130000,54.31490079465930,0.6228638749080250,FALSE
3348144,3348144,23.9,0.04411182,0.0986370281,44.1118199997,98.6370281305,0.0274098057,0.0612901888,144.7238235278,323.6123073718,793440000000,17.5649076525,63233.6675491447,39290.9419279672,0.4340489593,168.8450469971,64932800,40347372,10,1,0.0453154,6.298,2458000.5,0.3973810059712000,0.9403258403908950,11.6076647207195,195.3700872141470,333.0550192934600,0.5666582119956470,315.2418743196190,1.313993468786140,2458097.467355860000,255.1877435084700,1.080902491016950,FALSE
3646046,3646046,21.3,0.1460679643,0.3266178974,146.0679642714,326.6178974458,0.090762397,0.2029508896,479.2256199,1071.581062656,793440000000,19.223165458,69203.3956488727,43000.2988130454,0.1020481263,39.696723938,15266183,9485966,13,4,0.0140066,5.149,2458000.5,0.2494248827236090,1.183993437388870,35.2402424959676,149.1565598893370,470.5679773705000,0.8886760131226270,55.21650962102310,1.479310861655110,2457816.155450830000,141.0296511750650,0.7650329332047930,TRUE
3780693,3780693,26.989,0.0106354281,0.0237815402,10.6354281167,23.7815402388,0.0066085466,0.0147771594,34.8931379824,78.023428477,793440000000,7.1641480595,25790.9330143395,16025.4827943822,0.2115968709,82.3111877441,31654442,19669158,2,7,0.0071428,5.874,2458000.5,0.3179061258474020,1.03436766129103,4.008314775490600,322.7144944711470,384.2473032363460,0.7055358453881610,249.0178764867160,1.363199477193900,2457901.623542150000,92.63701924370050,0.9368966209206360,FALSE
2162173,2162173,19.3,0.3669061375,0.8204270649,366.9061375314,820.4270648822,0.2279848336,0.5097895857,1203.7603322587,2691.6899315481,794649600000,13.5763026447,48874.689520897,30368.8313859151,0.3507449112,136.4397735596,52470692,32603776,117,0,0.00132059,5.308,2458000.5,0.1902842554038820,1.189560559495510,5.883903317829790,251.5911063365940,473.8907826636590,0.9632059141740800,211.4467739786350,1.415915204816940,2457797.751480020000,154.0217068187270,0.7596687109559330,TRUE
3092312,3092312,22.6,0.0802703167,0.1794898848,80.2703167283,179.4898847799,0.049877647,0.1115298092,263.3540659348,588.8775935812,794649600000,11.4702980441,41293.0729588648,25657.9096949124,0.0517703658,20.138671875,7744736.5,4812356.5,14,0,0.0341962,5.089,2458000.5,0.4282526106821030,1.234937694057480,5.850410278034520,151.2892418885370,501.2634017981310,0.7060724025476300,292.6184516502230,1.763802985567340,2457751.688642940000,178.6926558391440,0.7181852868344450,FALSE
3273782,3273782,23.8,0.046190746,0.1032856481,46.1907460282,103.2856480504,0.0287015901,0.0641787064,151.544447199,338.8636855496,794649600000,11.9306425303,42950.3131091804,26687.6542760905,0.0975441157,37.9446640015,14592393,9067292,34,0,0.052677,7.480,2455882.5,0.3864587856542610,0.7629744336180590,20.83376792025670,352.9223651783220,243.4240059087950,0.4681162605167760,351.1788107856060,1.057832606719340,2455988.218870870000,203.652258647551,1.478900976327220,FALSE
3600106,3600106,28.6,0.0050647146,0.0113250461,5.0647145883,11.3250461062,0.0031470668,0.0070370552,16.61651821,37.155664267,794649600000,9.8741431619,35546.9153827062,22087.4708387709,0.1466999837,57.0662918091,21946004,13636615,8,6,0.00220111,5.349,2458000.5,0.2299595839786060,1.176188921427010,1.990548431564580,336.8735046974830,465.9228968858450,0.905713006375406,120.0623447551710,1.446664836478600,2457796.516096800000,157.6102089911100,0.772660031104252,FALSE
3684008,3684008,21.2,0.1529519353,0.3420109247,152.9519353442,342.0109247198,0.095039897,0.2125156703,501.8108275547,1122.0831222578,794649600000,15.938707162,57379.3457833544,35653.2940507738,0.1729029027,67.259223938,25865906,16072328,6,6,0.0667857,4.469,2458000.5,0.4373989530511650,1.442414905197320,24.56842188077440,151.7319137192870,632.7522951838970,0.8115041357986150,97.07781956847640,2.073325674596020,2458075.090407060000,317.5623087461240,0.5689430172598160,FALSE
3751815,3751815,22.8,0.0732073989,0.1636967205,73.2073989347,163.696720474,0.0454889547,0.1017163949,240.181762721,537.0627483999,794649600000,11.7404134833,42265.4885399758,26262.1309208533,0.3331832833,129.6083068848,49843512,30971322,7,6,0.0452308,6.708,2458000.5,0.513906570440738,0.8653553647152510,6.812692898480360,64.12627502627190,294.0289970235250,0.4206435570219430,292.8831880645740,1.31006717240856,2457885.993670270000,140.1980046848550,1.224369037218450,FALSE
